							
							
energy	total	scatter	capture	fission			
301.8419	5.394419	0	0.05556751	0			
302.4854	5.359476	0	0.04849518	0			
303.1289	5.329313	0	0.04271662	0			
303.7723	5.303006	0	0.03793519	0			
304.378	5.281127	0	0.03414962	0			
304.9836	5.261584	0	0.0309202	0			
305.5892	5.24401	0	0.02814279	0			
306.1948	5.228116	0	0.02573698	0			
306.8005	5.213668	0	0.02364029	0			
307.4061	5.200561	0	0.02181953	0			
308.6173	5.177359	0	0.01877452	0			
309.8286	5.157406	0	0.01634147	0			
311.0398	5.140117	0	0.01438315	0			
312.251	5.124956	0	0.01278417	0			
313.4622	5.111525	0	0.01146233	0			
314.7492	5.098806	0	0.01029467	0			
316.0361	5.087411	0	0.009319591	0			
317.3231	5.077115	0	0.008497383	0			
318.61	5.067744	0	0.007798329	0			
319.897	5.059244	0	0.00721016	0			
321.1839	5.051393	0	0.006701983	0			
322.4709	5.04398	0	0.006245273	0			
323.7578	5.037141	0	0.005855468	0			
326.3317	5.02465	0	0.005207242	0			
328.9056	5.013509	0	0.004703122	0			
331.4795	5.003418	0	0.00430647	0			
334.0533	4.994153	0	0.003991806	0			
336.7786	4.985056	0	0.003728167	0			
339.5039	4.976532	0	0.003520788	0			
344.9545	4.960775	0	0.003237931	0			
350.4051	4.945981	0	0.003067813	0			
355.8557	4.931774	0	0.002992919	0			
361.912	4.916156	0	0.003003376	0			
367.9682	4.90025	0	0.003095915	0			
374.0244	4.883655	0	0.003269452	0			
380.0806	4.86592	0	0.003535319	0			
386.1368	4.846314	0	0.003927111	0			
389.1649	4.835765	0	0.004170676	0			
392.193	4.824284	0	0.004473731	0			
395.2211	4.812248	0	0.004813084	0			
398.2492	4.798997	0	0.005233315	0			
401.2773	4.784863	0	0.005715509	0			
404.3054	4.769149	0	0.006313132	0			
407.0307	4.753517	0	0.006967536	0			
409.756	4.736204	0	0.007762974	0			
412.4813	4.716873	0	0.008740903	0			
415.2066	4.695087	0	0.009960087	0			
416.5693	4.683225	0	0.01067161	0			
417.9319	4.670257	0	0.01150692	0			
419.2946	4.656509	0	0.01243681	0			
420.6572	4.641581	0	0.01351223	0			
422.0199	4.625659	0	0.01472046	0			
423.3825	4.608082	0	0.01616043	0			
424.7452	4.588839	0	0.01785292	0			
426.1078	4.567656	0	0.01986173	0			
427.3948	4.545561	0	0.02212677	0			
428.6817	4.521078	0	0.02484831	0			
429.9687	4.493758	0	0.0281612	0			
431.2556	4.463043	0	0.03225317	0			
432.5426	4.428212	0	0.03739328	0			
433.8295	4.388649	0	0.0438764	0			
434.473	4.366509	0	0.04786133	0			
435.1164	4.342591	0	0.05246204	0			
435.7599	4.316696	0	0.05780375	0			
436.4033	4.288575	0	0.06405422	0			
437.0847	4.256025	0	0.07191282	0			
437.766	4.220221	0	0.08139143	0			
438.4473	4.180662	0	0.09297499	0			
439.1286	4.136763	0	0.1073433	0			
439.81	4.087853	0	0.1254687	0			
440.1507	4.061313	0	0.1363343	0			
440.4913	4.033291	0	0.1486674	0			
440.832	4.00365	0	0.1627961	0			
441.1726	3.97226	0	0.179154	0			
441.5133	3.939009	0	0.1982587	0			
441.8539	3.903892	0	0.2207099	0			
442.2135	3.86481	0	0.2489538	0			
442.5731	3.823808	0	0.2831524	0			
442.9327	3.781235	0	0.3251245	0			
443.2923	3.737822	0	0.377437	0			
443.6519	3.694958	0	0.4437759	0			
443.8317	3.674469	0	0.4838202	0			
444.0115	3.655233	0	0.5296413	0			
444.1913	3.637947	0	0.5824533	0			
444.3711	3.623586	0	0.6438299	0			
444.5509	3.613513	0	0.7158203	0			
444.7306	3.609658	0	0.8010634	0			
444.9199	3.615368	0	0.9091971	0			
445.1091	3.6358	0	1.041781	0			
445.2984	3.678303	0	1.207279	0			
445.393	3.711226	0	1.305967	0			
445.4876	3.754576	0	1.418017	0			
445.5823	3.811209	0	1.546316	0			
445.6769	3.884797	0	1.694192	0			
445.7715	3.980736	0	1.866645	0			
445.8661	4.106835	0	2.070504	0			
445.9608	4.275166	0	2.315995	0			
446.0554	4.5041	0	2.617652	0			
446.15	4.824078	0	2.999144	0			
446.1973	5.032675	0	3.230713	0			
446.2446	5.284775	0	3.497671	0			
446.292	5.592345	0	3.808889	0			
446.3393	5.968425	0	4.173336	0			
446.3866	6.4317	0	4.604461	0			
446.4339	7.004874	0	5.118221	0			
446.4812	7.716175	0	5.734283	0			
446.5285	8.600334	0	6.476645	0			
446.5758	9.699593	0	7.374274	0			
446.6231	11.06467	0	8.46169	0			
446.6705	12.75956	0	9.782527	0			
446.6942	13.75133	0	10.54421	0			
446.7178	14.84722	0	11.37824	0			
446.7415	16.06689	0	12.2986	0			
446.7651	17.41099	0	13.30475	0			
446.7888	18.90251	0	14.41288	0			
446.8124	20.54095	0	15.6216	0			
446.8361	22.35289	0	16.94944	0			
446.8597	24.33613	0	18.39373	0			
446.8834	26.521	0	19.97547	0			
446.907	28.90283	0	21.6902	0			
446.9543	34.3519	0	25.58229	0			
447.0016	40.79504	0	30.14085	0			
447.0466	47.94606	0	35.15781	0			
447.0915	56.15947	0	40.87675	0			
447.1365	65.54304	0	47.36477	0			
447.1814	76.10712	0	54.621	0			
447.2264	87.92592	0	62.68832	0			
447.2713	100.9431	0	71.52012	0			
447.3163	115.1761	0	81.12012	0			
447.3612	130.4803	0	91.38249	0			
447.4653	169.418	0	117.234	0			
447.5694	210.9929	0	144.4283	0			
447.6688	249.7714	0	169.3446	0			
447.7681	283.7565	0	190.6449	0			
447.8722	310.1856	0	206.4627	0			
447.9361	320.2308	0	211.9195	0			
448	324.919	0	213.7529	0			
448.0113	325.1694	0	213.6894	0			
448.0449	324.8786	0	212.8119	0			
448.0784	323.0569	0	210.9232	0			
448.1455	314.9626	0	204.225	0			
448.2287	297.4302	0	191.0723	0			
448.3119	273.1355	0	173.6458	0			
448.4451	225.3972	0	140.4458	0			
448.5782	174.6469	0	105.9876	0			
448.6392	152.4959	0	91.15514	0			
448.7002	131.8064	0	77.41103	0			
448.7612	112.9344	0	64.97154	0			
448.8222	96.08999	0	53.9553	0			
448.8832	81.35242	0	44.39477	0			
448.9442	68.6921	0	36.25187	0			
449.0052	57.99603	0	29.43559	0			
449.0357	53.33287	0	26.48635	0			
449.0661	49.1069	0	23.8278	0			
449.0967	45.25205	0	21.4163	0			
449.1272	41.78081	0	19.25769	0			
449.1577	38.6525	0	17.32456	0			
449.1882	35.83986	0	15.59811	0			
449.2187	33.31619	0	14.06005	0			
449.2492	31.05573	0	12.6928	0			
449.2797	29.03381	0	11.47968	0			
449.3102	27.22714	0	10.40497	0			
449.3407	25.61387	0	9.454035	0			
449.3712	24.1737	0	8.613318	0			
449.4017	22.88789	0	7.870384	0			
449.4322	21.73933	0	7.213897	0			
449.4627	20.71241	0	6.633598	0			
449.4932	19.79306	0	6.120252	0			
449.5542	18.22776	0	5.2623	0			
449.6152	16.95773	0	4.584493	0			
449.6762	15.91572	0	4.043654	0			
449.7372	15.04977	0	3.606762	0			
449.7982	14.32022	0	3.248905	0			
449.8592	13.69709	0	2.951468	0			
449.9202	13.15783	0	2.700637	0			
449.9812	12.68546	0	2.486184	0			
450.0422	12.26724	0	2.300528	0			
450.1532	11.61499	0	2.019058	0			
450.2641	11.07068	0	1.791844	0			
450.375	10.60734	0	1.60408	0			
450.4859	10.20721	0	1.446268	0			
450.5968	9.857698	0	1.311875	0			
450.7077	9.549562	0	1.196209	0			
450.8186	9.275762	0	1.095771	0			
450.9295	9.030833	0	1.007893	0			
451.1514	8.610929	0	0.8618826	0			
451.3732	8.264528	0	0.7462413	0			
451.595	7.973981	0	0.652945	0			
451.8168	7.726988	0	0.5765385	0			
452.0276	7.524428	0	0.5160396	0			
452.2383	7.347391	0	0.4648829	0			
452.4491	7.191186	0	0.4211656	0			
452.6598	7.052387	0	0.3835	0			
452.8706	6.928054	0	0.3507497	0			
453.0813	6.816116	0	0.3221041	0			
453.5027	6.622668	0	0.274604	0			
453.9242	6.461507	0	0.2371348	0			
454.3456	6.325288	0	0.2070912	0			
454.7671	6.208561	0	0.1826252	0			
455.1885	6.107426	0	0.1624489	0			
455.5878	6.023265	0	0.1464289	0			
455.9871	5.948529	0	0.1328264	0			
